iter	RMSE	MAE
0	0.4978793336	0.4978154451
1	0.4943321264	0.4941108784
2	0.4914097514	0.4909289828
3	0.4876078244	0.4868921762
4	0.4841869284	0.4832153334
5	0.4823027879	0.4811194868
6	0.4792329167	0.4776655498
7	0.4769555091	0.4750284257
8	0.4752385819	0.4729620285
9	0.4727758394	0.4701047376
10	0.4711510654	0.4682926571
11	0.4683046044	0.4652482919
12	0.4658622091	0.4625999171
13	0.4634497186	0.4599567906
14	0.4616889504	0.4580932462
15	0.4590121392	0.4551722176
16	0.4570973027	0.453001375
17	0.4558158098	0.4515905052
18	0.4544853133	0.4499887457
19	0.4524262574	0.4475557023
20	0.4514051638	0.4460922275
21	0.4496239054	0.4440821527
22	0.4486441473	0.4428325262
23	0.446669321	0.4404572395
24	0.4440156184	0.4374919064
25	0.4423079701	0.4352428887
26	0.4399892833	0.4326754722
27	0.4384897004	0.4306085206
28	0.4373869503	0.4292466379
29	0.4356666346	0.4274058007
30	0.4342195692	0.425688763
31	0.4330976321	0.4242558477
32	0.4312127554	0.4218911246
33	0.4290651116	0.4192965489
34	0.4275647987	0.4175879311
35	0.4269378982	0.4168301981
36	0.4251722947	0.41491194
37	0.4236207873	0.41317394
38	0.4225329171	0.4116558061
39	0.4210463676	0.409860169
40	0.4197637166	0.4084506855
41	0.4183117294	0.4066203149
42	0.417048009	0.405188806
43	0.4163205289	0.404159212
44	0.4154300635	0.4029975619
45	0.4145711553	0.4017654754
46	0.4128604259	0.3998443015
47	0.4123472351	0.3992617953
48	0.4103558764	0.3969937646
49	0.4089846047	0.3951326135
50	0.4075640561	0.3933057441
51	0.4066071491	0.3920941655
52	0.4054296223	0.390723278
53	0.4040997127	0.3892677912
54	0.4025974178	0.3874496785
55	0.40129186	0.385634432
56	0.4004034529	0.3844340036
57	0.3993409939	0.3829622584
58	0.3975809759	0.3809815059
59	0.3971472615	0.3803291574
60	0.3954314203	0.3782672914
61	0.3943033612	0.3767490629
62	0.393070454	0.3751182122
63	0.3924234904	0.3742967672
64	0.3905819739	0.3724289847
65	0.3901172976	0.3715873403
66	0.3890510275	0.3704175262
67	0.3881590319	0.3690569003
68	0.3879671344	0.3688310829
69	0.3873507142	0.3681257126
70	0.3856380757	0.3660023284
71	0.3841877268	0.3641681838
72	0.3835647716	0.363231256
73	0.3818601624	0.3612442037
74	0.3806173345	0.3594995085
75	0.379880123	0.3585331372
76	0.3783396655	0.3564597789
77	0.3773599759	0.3554569685
78	0.3769071871	0.3548238657
79	0.3753255341	0.3530277257
80	0.3739724432	0.3514096525
81	0.372867234	0.3499933616
82	0.3721491341	0.3489287522
83	0.3712862878	0.348133427
84	0.3706503678	0.3471564109
85	0.3697179929	0.3458594699
86	0.3686847065	0.3447211182
87	0.3676903529	0.3434142384
88	0.3664654028	0.3418466078
89	0.3658191266	0.3409050968
90	0.3649454497	0.3397559716
91	0.3638656915	0.3382841134
92	0.3632604849	0.337663434
93	0.3622372843	0.3364686596
94	0.3614365081	0.3356579448
95	0.3607634889	0.3348574446
96	0.3597793262	0.3336232427
97	0.3589233883	0.3324703517
98	0.3585084509	0.331777934
99	0.3578449109	0.3310355347
100	0.3566608253	0.3298977578
101	0.3555608752	0.3285319451
102	0.3546852748	0.3275510811
103	0.3537525861	0.3266663157
104	0.3535872668	0.3264340221
105	0.3524791161	0.3254446094
106	0.3521388947	0.3249584554
107	0.3516388843	0.324240561
108	0.3509478823	0.3231181209
109	0.3498924028	0.3219256832
110	0.3486975271	0.3205730983
111	0.3481175219	0.3196286069
112	0.3466068925	0.3178744039
113	0.3459738268	0.3169001699
114	0.3454665162	0.3161858016
115	0.3444165987	0.3150270361
116	0.3438408591	0.3143011038
117	0.3427296337	0.3131269084
118	0.3420242063	0.312526623
119	0.3412450154	0.3117720817
120	0.3403610674	0.310786309
121	0.3395444391	0.3098364417
122	0.338737968	0.3087807172
123	0.337735192	0.3071062391
124	0.3372309319	0.3062939727
125	0.3367470698	0.3057044908
126	0.3358489103	0.3045245778
127	0.3346209708	0.3031282107
128	0.3338287824	0.3020608267
129	0.3332224266	0.3013001074
130	0.3325823094	0.3002448068
131	0.3318009	0.2994471404
132	0.3315732927	0.2990106231
133	0.3312068377	0.2984375499
134	0.3305924657	0.2976449195
135	0.3289377651	0.2961585645
136	0.3284333844	0.2953002448
137	0.3283191052	0.2950653625
138	0.3272780442	0.2937507794
139	0.3263566608	0.2923536895
140	0.3256390555	0.2913344757
141	0.325315761	0.2909277481
142	0.3243056803	0.2898164092
143	0.3236387475	0.2890550269
144	0.3226910455	0.2880238476
145	0.322026182	0.2869782472
146	0.3215324989	0.2862317462
147	0.3211217125	0.2855202558
148	0.3208448686	0.2849909611
149	0.3197943354	0.2836742474
150	0.3194546687	0.283042011
151	0.3184739991	0.2817691326
152	0.3180112645	0.281251373
153	0.3171870074	0.2805026854
154	0.3162299245	0.2794547128
155	0.3154612645	0.278528617
156	0.3147913453	0.2778933595
157	0.314413969	0.2771407361
158	0.3136746814	0.2762624513
159	0.313059393	0.2756447243
160	0.3122104901	0.2745839855
161	0.3109686215	0.2733677967
162	0.3103076005	0.2724115583
163	0.3094267383	0.2712578082
164	0.3084414431	0.2702471751
165	0.3080111093	0.2693245328
166	0.3074717974	0.2686806268
167	0.3069321356	0.2678444997
168	0.3065321004	0.2669807151
169	0.3059191567	0.2659852929
