iter	Passed	Remaining
0	6	6062
1	13	6641
2	21	6984
3	27	6929
4	34	6944
5	38	6437
6	42	6064
7	47	5839
8	50	5611
9	55	5445
10	59	5353
11	63	5256
12	68	5213
13	73	5147
14	80	5269
15	84	5173
16	87	5059
17	91	4976
18	95	4915
19	99	4873
20	102	4767
21	105	4672
22	109	4632
23	112	4575
24	115	4509
25	118	4435
26	121	4367
27	128	4459
28	133	4456
29	137	4446
30	141	4426
31	144	4368
32	147	4314
33	149	4261
34	153	4238
35	157	4221
36	161	4198
37	165	4188
38	169	4167
39	173	4154
40	176	4124
41	179	4096
42	182	4065
43	186	4052
44	189	4022
45	192	4000
46	196	3978
47	199	3956
48	203	3942
49	208	3955
50	229	4263
51	232	4235
52	236	4231
53	241	4222
54	245	4210
55	248	4189
56	251	4167
57	254	4137
58	257	4107
59	260	4082
60	263	4056
61	266	4032
62	270	4020
63	273	4005
64	277	3992
65	280	3967
66	283	3952
67	286	3932
68	289	3912
69	295	3919
70	298	3902
71	301	3888
72	304	3867
73	307	3847
74	310	3826
75	313	3805
76	316	3794
77	320	3790
78	323	3774
79	326	3756
80	329	3739
81	333	3738
82	336	3722
83	339	3705
84	342	3688
85	345	3672
86	348	3659
87	353	3663
88	356	3651
89	359	3636
90	362	3623
91	366	3617
92	369	3603
93	372	3590
94	375	3577
95	379	3577
96	383	3569
97	386	3556
98	389	3542
99	392	3529
100	395	3522
101	398	3512
102	401	3500
103	404	3487
104	407	3473
105	411	3466
106	415	3463
107	429	3551
108	432	3537
109	435	3527
110	438	3515
111	441	3504
112	445	3494
113	448	3482
114	450	3470
115	453	3458
116	456	3446
117	460	3441
118	463	3434
119	466	3423
120	469	3412
121	472	3403
122	477	3401
123	480	3392
124	484	3388
125	487	3382
126	491	3380
127	495	3378
128	500	3378
129	503	3371
130	507	3366
131	512	3372
132	517	3371
133	520	3361
134	523	3356
135	536	3410
136	541	3409
137	544	3403
138	547	3393
139	551	3387
140	554	3376
141	558	3375
142	561	3367
143	565	3359
144	568	3350
145	572	3348
146	575	3338
147	578	3330
148	581	3322
149	585	3317
150	588	3311
151	592	3305
152	595	3296
153	598	3290
154	601	3281
155	605	3278
156	610	3277
157	613	3268
158	616	3261
159	621	3260
160	624	3255
161	627	3246
162	630	3239
163	633	3231
164	638	3229
165	641	3221
166	644	3213
167	646	3203
168	649	3195
169	653	3192
170	656	3183
171	659	3175
172	662	3167
173	665	3159
174	669	3156
175	672	3148
176	676	3144
177	679	3136
178	682	3128
179	687	3129
180	690	3125
181	693	3117
182	697	3114
183	702	3113
184	706	3112
185	709	3106
186	713	3102
187	718	3101
188	721	3095
189	724	3090
190	727	3082
191	730	3075
192	735	3074
193	738	3069
194	742	3064
195	745	3060
196	750	3058
197	753	3053
198	758	3051
199	761	3044
200	765	3042
201	769	3040
202	772	3034
203	776	3028
204	779	3024
205	783	3021
206	787	3016
207	790	3009
208	793	3003
209	797	3000
210	801	2996
211	804	2990
212	807	2983
213	810	2977
214	814	2973
215	828	3005
216	831	3002
217	835	2995
218	838	2991
219	841	2984
220	846	2982
221	850	2979
222	853	2973
223	856	2966
224	875	3016
225	879	3010
226	881	3003
227	884	2996
228	887	2989
229	890	2982
230	894	2978
231	897	2970
232	900	2963
233	903	2958
234	906	2952
235	910	2948
236	914	2944
237	917	2937
238	920	2930
239	923	2923
240	928	2922
241	930	2915
242	933	2907
243	936	2900
244	938	2892
245	941	2886
246	944	2879
247	948	2874
248	955	2882
249	959	2877
250	961	2869
251	964	2861
252	967	2856
253	970	2850
254	974	2845
255	977	2839
256	980	2834
257	985	2835
258	990	2832
259	993	2827
260	997	2823
261	1000	2818
262	1004	2814
263	1008	2811
264	1012	2808
265	1016	2806
266	1023	2810
267	1026	2804
268	1029	2798
269	1032	2790
270	1034	2783
271	1037	2777
272	1040	2771
273	1043	2764
274	1045	2756
275	1047	2749
276	1050	2741
277	1053	2736
278	1056	2730
279	1058	2722
280	1061	2715
281	1063	2708
282	1066	2701
283	1069	2695
284	1071	2688
285	1074	2681
286	1076	2674
287	1079	2667
288	1081	2660
289	1084	2654
290	1087	2648
291	1089	2641
292	1091	2634
293	1094	2627
294	1096	2620
295	1098	2613
296	1102	2609
297	1104	2602
298	1107	2595
299	1109	2588
300	1111	2581
301	1114	2574
302	1116	2568
303	1119	2563
304	1122	2558
305	1125	2551
306	1127	2544
307	1129	2538
308	1132	2531
309	1135	2526
310	1137	2520
311	1139	2513
312	1142	2507
313	1144	2500
314	1146	2494
315	1150	2489
316	1152	2483
317	1154	2476
318	1157	2470
319	1159	2463
320	1161	2457
321	1164	2451
322	1167	2446
323	1169	2439
324	1171	2433
325	1174	2427
326	1176	2421
327	1179	2415
328	1182	2411
329	1185	2406
330	1187	2400
331	1189	2394
332	1192	2388
333	1194	2382
334	1197	2377
335	1201	2373
336	1203	2367
337	1205	2361
338	1208	2356
339	1210	2350
340	1213	2345
341	1216	2341
342	1219	2336
343	1222	2330
344	1224	2324
345	1226	2319
346	1230	2315
347	1232	2309
348	1235	2304
349	1237	2298
350	1240	2292
351	1242	2287
352	1244	2281
353	1248	2277
354	1250	2272
355	1253	2266
356	1255	2261
357	1257	2255
358	1260	2249
359	1263	2245
360	1265	2240
361	1268	2235
362	1270	2229
363	1272	2224
364	1275	2218
365	1278	2214
366	1280	2209
367	1283	2204
368	1285	2198
369	1288	2193
370	1290	2188
371	1293	2183
372	1296	2178
373	1299	2174
374	1302	2170
375	1304	2165
376	1307	2160
377	1310	2155
378	1312	2151
379	1316	2147
380	1318	2142
381	1320	2137
382	1323	2131
383	1326	2127
384	1328	2122
385	1331	2117
386	1333	2112
387	1336	2107
388	1338	2102
389	1341	2097
390	1344	2093
391	1347	2089
392	1349	2084
393	1351	2079
394	1354	2074
395	1356	2069
396	1360	2066
397	1363	2062
398	1365	2057
399	1368	2052
400	1370	2047
401	1373	2043
402	1376	2039
403	1380	2036
404	1384	2033
405	1387	2029
406	1391	2026
407	1393	2022
408	1396	2018
409	1400	2014
410	1402	2009
411	1405	2005
412	1408	2001
413	1412	1998
414	1416	1996
415	1419	1992
416	1422	1989
417	1426	1986
418	1428	1981
419	1431	1976
420	1434	1972
421	1437	1968
422	1439	1963
423	1442	1959
424	1444	1954
425	1448	1951
426	1452	1949
427	1455	1945
428	1459	1942
429	1462	1938
430	1465	1934
431	1467	1929
432	1470	1926
433	1473	1921
434	1475	1916
435	1478	1912
436	1480	1907
437	1483	1902
438	1486	1899
439	1488	1894
440	1491	1890
441	1493	1885
442	1496	1881
443	1498	1876
444	1501	1872
445	1504	1869
446	1507	1864
447	1509	1860
448	1511	1855
449	1514	1850
450	1516	1846
451	1519	1842
452	1522	1838
453	1524	1833
454	1527	1829
455	1544	1842
456	1547	1838
457	1550	1834
458	1553	1830
459	1555	1826
460	1558	1821
461	1560	1817
462	1563	1812
463	1565	1808
464	1568	1804
465	1571	1800
466	1574	1796
467	1576	1792
468	1578	1787
469	1581	1783
470	1584	1779
471	1586	1775
472	1589	1770
473	1591	1766
474	1594	1761
475	1596	1757
476	1599	1754
477	1602	1749
478	1604	1745
479	1607	1741
480	1609	1736
481	1611	1732
482	1615	1729
483	1618	1725
484	1622	1722
485	1624	1718
486	1626	1713
487	1629	1709
488	1632	1705
489	1634	1701
490	1637	1697
491	1639	1693
492	1641	1688
493	1644	1684
494	1647	1680
495	1650	1676
496	1652	1672
497	1655	1668
498	1657	1664
499	1660	1660
500	1663	1656
501	1665	1652
502	1668	1648
503	1670	1644
504	1673	1640
505	1675	1635
506	1678	1632
507	1681	1628
508	1684	1624
509	1686	1620
510	1688	1616
511	1691	1611
512	1693	1608
513	1697	1604
514	1699	1600
515	1702	1596
516	1704	1592
517	1706	1588
518	1709	1584
519	1712	1581
520	1715	1577
521	1718	1573
522	1720	1569
523	1722	1565
524	1725	1561
525	1728	1557
526	1731	1553
527	1733	1549
528	1735	1545
529	1738	1541
530	1740	1537
531	1744	1534
532	1746	1530
533	1748	1526
534	1751	1522
535	1753	1518
536	1756	1514
537	1759	1510
538	1761	1506
539	1764	1502
540	1766	1498
541	1769	1494
542	1771	1490
543	1773	1486
544	1777	1483
545	1779	1479
546	1782	1475
547	1784	1471
548	1787	1468
549	1789	1464
550	1792	1460
551	1795	1456
552	1797	1452
553	1799	1449
554	1802	1445
555	1804	1441
556	1808	1438
557	1811	1434
558	1813	1430
559	1816	1426
560	1819	1423
561	1821	1419
562	1824	1416
563	1827	1412
564	1829	1408
565	1831	1404
566	1834	1400
567	1836	1396
568	1839	1393
569	1842	1389
570	1844	1386
571	1847	1382
572	1849	1378
573	1852	1374
574	1854	1370
575	1857	1367
576	1860	1363
577	1862	1359
578	1864	1356
579	1867	1352
580	1869	1348
581	1873	1345
582	1875	1341
583	1878	1337
584	1880	1334
585	1882	1330
586	1885	1326
587	1888	1323
588	1891	1319
589	1893	1315
590	1895	1312
591	1898	1308
592	1900	1304
593	1903	1301
594	1906	1297
595	1909	1294
596	1911	1290
597	1914	1286
598	1916	1283
599	1919	1279
600	1922	1276
601	1935	1279
602	1939	1276
603	1942	1273
604	1946	1270
605	1950	1267
606	1954	1265
607	1958	1262
608	1965	1261
609	1970	1259
610	1972	1255
611	1975	1252
612	1977	1248
613	1979	1244
614	1982	1240
615	1985	1237
616	1988	1234
617	1991	1230
618	1993	1227
619	1995	1223
620	1998	1219
621	2002	1216
622	2004	1213
623	2007	1209
624	2009	1205
625	2012	1202
626	2014	1198
627	2017	1195
628	2020	1191
629	2022	1187
630	2024	1184
631	2027	1180
632	2029	1176
633	2032	1173
634	2035	1169
635	2037	1166
636	2040	1162
637	2042	1159
638	2045	1155
639	2048	1152
640	2051	1148
641	2053	1145
642	2055	1141
643	2058	1137
644	2060	1134
645	2063	1130
646	2066	1127
647	2069	1123
648	2071	1120
649	2073	1116
650	2076	1113
651	2078	1109
652	2081	1106
653	2084	1102
654	2086	1099
655	2089	1095
656	2091	1091
657	2094	1088
658	2097	1085
659	2100	1081
660	2102	1078
661	2104	1074
662	2107	1071
663	2110	1067
664	2113	1064
665	2116	1061
666	2119	1058
667	2121	1054
668	2124	1051
669	2126	1047
670	2130	1044
671	2133	1041
672	2135	1037
673	2138	1034
674	2140	1030
675	2143	1027
676	2147	1024
677	2150	1021
678	2153	1018
679	2156	1015
680	2159	1011
681	2163	1008
682	2166	1005
683	2170	1002
684	2173	999
685	2175	995
686	2180	993
687	2183	989
688	2186	987
689	2189	983
690	2192	980
691	2196	977
692	2199	974
693	2203	971
694	2205	967
695	2208	964
696	2212	961
697	2215	958
698	2219	955
699	2221	952
700	2226	949
701	2229	946
702	2233	943
703	2237	940
704	2241	937
705	2245	934
706	2249	932
707	2251	928
708	2254	925
709	2259	922
710	2262	919
711	2264	916
712	2268	913
713	2270	909
714	2275	906
715	2278	903
716	2281	900
717	2284	897
718	2286	893
719	2291	891
720	2294	887
721	2298	884
722	2301	881
723	2303	878
724	2307	875
725	2311	872
726	2314	869
727	2317	865
728	2320	862
729	2324	859
730	2327	856
731	2330	853
732	2333	850
733	2337	847
734	2341	844
735	2344	840
736	2348	837
737	2365	839
738	2374	838
739	2378	835
740	2381	832
741	2384	829
742	2388	826
743	2391	822
744	2394	819
745	2397	816
746	2399	812
747	2404	809
748	2407	806
749	2409	803
750	2412	799
751	2414	796
752	2418	793
753	2421	790
754	2424	786
755	2427	783
756	2430	780
757	2434	777
758	2437	773
759	2439	770
760	2442	767
761	2444	763
762	2447	760
763	2450	756
764	2453	753
765	2455	750
766	2457	746
767	2460	743
768	2462	739
769	2466	736
770	2469	733
771	2471	729
772	2473	726
773	2476	722
774	2478	719
775	2481	716
776	2484	713
777	2486	709
778	2489	706
779	2491	702
780	2493	699
781	2497	696
782	2500	692
783	2502	689
784	2505	686
785	2507	682
786	2509	679
787	2513	676
788	2515	672
789	2518	669
790	2520	666
791	2523	662
792	2525	659
793	2528	656
794	2531	652
795	2533	649
796	2536	646
797	2538	642
798	2541	639
799	2544	636
800	2547	632
801	2549	629
802	2551	626
803	2555	622
804	2571	622
805	2574	619
806	2577	616
807	2580	613
808	2582	609
809	2584	606
810	2587	602
811	2589	599
812	2592	596
813	2595	593
814	2598	589
815	2601	586
816	2603	583
817	2606	579
818	2609	576
819	2611	573
820	2614	569
821	2617	566
822	2619	563
823	2622	560
824	2626	557
825	2628	553
826	2631	550
827	2633	547
828	2636	543
829	2638	540
830	2641	537
831	2644	533
832	2646	530
833	2649	527
834	2651	523
835	2654	520
836	2657	517
837	2659	514
838	2662	510
839	2664	507
840	2667	504
841	2669	500
842	2671	497
843	2675	494
844	2677	491
845	2679	487
846	2682	484
847	2684	481
848	2686	477
849	2690	474
850	2693	471
851	2695	468
852	2698	465
853	2700	461
854	2702	458
855	2706	455
856	2708	451
857	2711	448
858	2713	445
859	2715	442
860	2718	438
861	2721	435
862	2724	432
863	2726	429
864	2729	425
865	2731	422
866	2733	419
867	2736	416
868	2740	413
869	2742	409
870	2745	406
871	2747	403
872	2749	399
873	2751	396
874	2755	393
875	2757	390
876	2760	387
877	2762	383
878	2764	380
879	2767	377
880	2770	374
881	2773	371
882	2775	367
883	2778	364
884	2780	361
885	2782	358
886	2786	354
887	2789	351
888	2791	348
889	2794	345
890	2796	342
891	2799	338
892	2802	335
893	2805	332
894	2807	329
895	2809	326
896	2812	322
897	2814	319
898	2817	316
899	2820	313
900	2822	310
901	2825	306
902	2827	303
903	2829	300
904	2832	297
905	2835	294
906	2838	291
907	2840	287
908	2842	284
909	2845	281
910	2847	278
911	2850	275
912	2853	271
913	2855	268
914	2858	265
915	2860	262
916	2863	259
917	2866	256
918	2868	252
919	2871	249
920	2873	246
921	2876	243
922	2879	240
923	2883	237
924	2886	234
925	2888	230
926	2891	227
927	2893	224
928	2896	221
929	2899	218
930	2902	215
931	2904	211
932	2921	209
933	2924	206
934	2927	203
935	2933	200
936	2937	197
937	2940	194
938	2943	191
939	2947	188
940	2950	184
941	2952	181
942	2955	178
943	2957	175
944	2959	172
945	2963	169
946	2965	165
947	2968	162
948	2970	159
949	2973	156
950	2975	153
951	2978	150
952	2981	147
953	2983	143
954	2985	140
955	2988	137
956	2990	134
957	2992	131
958	2996	128
959	2999	124
960	3001	121
961	3004	118
962	3006	115
963	3009	112
964	3012	109
965	3014	106
966	3017	102
967	3019	99
968	3022	96
969	3024	93
970	3027	90
971	3030	87
972	3032	84
973	3035	81
974	3037	77
975	3040	74
976	3043	71
977	3046	68
978	3048	65
979	3051	62
980	3053	59
981	3055	56
982	3058	52
983	3061	49
984	3063	46
985	3066	43
986	3068	40
987	3070	37
988	3073	34
989	3076	31
990	3078	27
991	3081	24
992	3083	21
993	3085	18
994	3088	15
995	3091	12
996	3094	9
997	3097	6
998	3099	3
999	3102	0
